Country,Date,int_perc,electricity_consumed,energy_consumed,population,GDP
AFG,1990,0.0,1.02114,8.726854929139892,12412.3,27.2332
AFG,1991,0.0,1.04477,3.567049985636651,13299.0,24.2565
AFG,1992,0.0,0.76805,2.1595226780561516,14485.5,24.6481
AFG,1993,0.0,0.72961,1.964311751662966,15816.6,18.4947
AFG,1994,0.0,0.75017,1.7616325396998394,17075.7,14.3776
AFG,1995,0.0,0.68544,1.3996407242653586,18110.7,21.557
AFG,1996,0.0,0.62057,1.318606693412316,18853.4,20.4208
AFG,1997,0.0,0.56407,1.2229821749048069,19357.1,19.371
AFG,1998,0.0,0.5278,1.1672808143688678,19737.8,18.4918
AFG,1999,0.0,0.52315,1.1416224087889384,20170.8,17.5943
AFG,2000,0.0,0.53431,0.9710328129547602,20780.0,16.6261
AFG,2001,0.00472256824217368,0.65056,0.7365432711255625,21607.0,15.6824
AFG,2002,0.00456139517022146,0.73891,0.668538661649472,22600.8,25.8756
AFG,2003,0.0878912528559713,0.97327,0.7503633521957501,23680.9,28.0047
AFG,2004,0.105809030021958,0.93142,0.6638034575504376,24726.7,28.6606
AFG,2005,1.22414808372471,0.97362,0.8184187715747253,25654.3,31.4985
AFG,2006,2.10712364546412,1.21041,0.9998175876840902,26433.1,34.3841
AFG,2007,1.9,1.48878,1.2639880937503156,27100.5,43.7508
AFG,2008,1.84,1.4290493,2.1111698110731996,27722.3,40.849
AFG,2009,3.55,2.027433,3.3579667580742125,28394.8,47.8852
AFG,2010,4.0,2.442759,4.061555520719247,29185.5,49.4348
AFG,2011,5.0,3.033989,5.347433782037638,30117.4,53.7262
AFG,2012,5.45454545454545,3.91916,4.736874741480483,31161.4,59.5984
AFG,2013,5.9,4.64079,3.8582527606273733,32269.6,63.4579
AFG,2014,6.39,4.78322,3.4255622019929817,33370.8,65.4025
ALB,1990,0.0,1.659,34.94914183656983,3286.07,15.0939
ALB,1991,0.0,1.715,29.363397602421028,3280.4,10.8673
ALB,1992,0.0,1.443,25.93779775602281,3245.89,10.0849
ALB,1993,0.0,1.727,23.10761605610659,3195.2,11.0531
ALB,1994,0.0,2.017,22.30344022521837,3146.52,11.9705
ALB,1995,0.011168695486794,2.152,24.912199342508423,3112.92,13.5626
ALB,1996,0.0321968282260578,2.79,27.54142926420847,3098.7,14.797
ALB,1997,0.0485939187626304,2.084,25.14611620129597,3099.75,13.1933
ALB,1998,0.0650273700200414,2.2,26.952941503916364,3110.7,14.3819
ALB,1999,0.0814370446040466,3.482,24.163779540650292,3122.7,16.3236
ALB,2000,0.114097346552109,3.75836,31.32934599044218,3129.25,17.405
ALB,2001,0.325798377067964,3.54878,29.690814680184662,3129.7,18.787
ALB,2002,0.39008127343332,4.54556,32.19567774049347,3126.18,19.582
ALB,2003,0.971900415195857,4.11058,36.40848489892904,3118.02,20.7059
ALB,2004,2.42038779776014,3.7776,38.69708631714531,3104.89,21.8806
ALB,2005,6.04389086404814,3.7388,38.70388541636516,3086.81,23.1408
ALB,2006,9.60999131577118,2.99142,36.72501449575394,3063.02,24.3976
ALB,2007,15.0361154084109,3.69368,31.913451810510672,3033.99,25.8384
ALB,2008,23.86,4.053,35.2168276402469,3002.68,27.7856
ALB,2009,41.2,4.302,38.70478492761921,2973.04,28.7176
ALB,2010,45.0,4.42477,42.92865789114989,2948.03,29.7822
ALB,2011,49.0,5.14194,36.333563628082516,2928.6,30.5402
ALB,2012,54.6559590399494,4.32265,35.68232323576935,2914.09,30.9731
ALB,2013,57.2,4.48241,43.759713224585504,2903.79,31.2835
ALB,2014,60.1,4.85676,40.0019793601861,2896.31,31.8386
DZA,1990,0.0,12.734,47.27017102821974,25758.9,283.141
DZA,1991,0.0,13.034,51.28567309162841,26400.5,279.743
DZA,1992,0.0,14.035,48.16254909768232,27028.3,284.778
DZA,1993,0.0,14.039,43.31756448153536,27635.5,278.798
DZA,1994,0.000360673567987076,14.365,43.703878667419964,28213.8,276.289
DZA,1995,0.00176895401501439,14.474,44.83112252681045,28757.8,286.788
DZA,1996,0.00173853322594298,15.172,43.17631522110816,29266.4,298.546
DZA,1997,0.010268463150268,15.365,40.46951146778634,29743.0,301.83
DZA,1998,0.0202385545408469,16.905,41.42627541753991,30192.8,317.224
DZA,1999,0.199523842999477,18.492,40.69085996623254,30623.4,327.375
DZA,2000,0.491705679141589,19.71552,41.04536177153886,31042.2,339.815
DZA,2001,0.646114016703792,20.64764,40.55689969084673,31451.5,350.009
DZA,2002,1.59164126035832,21.62354,41.04365889521271,31855.1,369.61
DZA,2003,2.19535973086144,23.61164,41.008842693757046,32264.2,396.222
DZA,2004,4.63447508776537,24.42506,39.624316003100006,32692.2,413.259
DZA,2005,5.84394209201256,27.5164,44.96155402588426,33149.7,437.642
DZA,2006,7.37598495634886,26.91052,46.36260777971541,33641.0,445.082
DZA,2007,9.45119062555304,28.3348,45.35788116357241,34167.0,460.214
DZA,2008,10.18,30.49982,48.29794286830368,34730.6,471.26
DZA,2009,11.23,28.315,50.49328008951224,35333.9,478.8
DZA,2010,12.5,33.8405,49.41325342389091,35977.4,496.037
DZA,2011,14.0,38.13478,52.861872730382,36661.4,510.422
DZA,2012,15.2280267564417,42.8676,56.125873664946425,37383.9,527.776
DZA,2013,16.5,45.2015,53.42370219720162,38140.1,542.554
DZA,2014,18.09,49.20682,59.08736536526138,38923.7,563.171
AGO,1990,0.0,0.958,6.718935398090189,11848.4,62.294
AGO,1991,0.0,0.899,6.812131048502314,12248.9,62.9115
AGO,1992,0.0,1.013,6.6892286291023435,12657.4,59.2386
AGO,1993,0.0,1.062,6.357411915869981,13075.0,45.0311
AGO,1994,0.0,1.071,6.005854315081681,13503.8,45.6343
AGO,1995,0.0,1.074,6.238312774287927,13945.2,52.4794
AGO,1996,0.000775928524568031,1.085,5.806087231870673,14400.7,59.5874
AGO,1997,0.00567374598866159,1.216,6.31515501694505,14871.6,63.9219
AGO,1998,0.0184537240759316,1.328,5.503247441339618,15359.6,66.9206
AGO,1999,0.0719640870420026,1.106,5.946264412077974,15866.9,68.3805
AGO,2000,0.105045562462262,1.19302,6.752911822204013,16395.5,70.4693
AGO,2001,0.136013867429868,1.35274,7.094573619555762,16945.8,73.4332
AGO,2002,0.270376745595134,1.45868,7.312659828399827,17519.4,83.4683
AGO,2003,0.370682065225727,1.64976,7.8454117321587145,18121.5,85.9639
AGO,2004,0.464814617985909,1.59608,8.381498845124181,18758.1,95.3794
AGO,2005,1.1433668265595,2.06798,6.887931407701192,19433.6,109.714
AGO,2006,1.90764750723428,2.85054,8.375992178335771,20149.9,122.383
AGO,2007,3.2,2.7178,9.279723788780894,20905.4,139.529
AGO,2008,4.6,3.64768,10.480210991589445,21695.6,155.109
AGO,2009,6.0,4.13154,11.491561140969964,22514.3,156.441
AGO,2010,10.0,4.69024,12.151704803709508,23356.2,164.043
AGO,2011,14.776,4.88636,12.284364739912554,24220.7,169.739
AGO,2012,16.9372101137398,5.33508,12.376183787509108,25107.9,184.238
AGO,2013,19.1,7.05006,13.36731054473051,26015.8,193.366
AGO,2014,21.26,8.14866,14.207058398288162,26941.8,202.691
ATG,1990,0.0,0.08277,95.44608279628356,62.533,1.16507
ATG,1991,0.0,0.08277,93.28069747399657,63.7608,1.19043
ATG,1992,0.0,0.08277,91.76333982883152,64.9886,1.20422
ATG,1993,0.0,0.08277,89.82143238684073,66.2164,1.26781
ATG,1994,0.0,0.08463,94.40721953110868,67.4442,1.35245
ATG,1995,2.20076880190146,0.08556,98.85294436597158,68.672,1.29349
ATG,1996,2.85844957694946,0.08556,97.04518152240551,70.139,1.37892
ATG,1997,3.48053683800189,0.08649,97.69271283830965,71.606,1.45437
ATG,1998,4.0717164999525,0.08835,95.73145204795205,73.073,1.52318
ATG,1999,5.30068113752617,0.08835,93.84764690099276,74.54,1.57965
ATG,2000,6.48222573702907,0.13113,95.9030369571223,76.007,1.67764
ATG,2001,8.89928551450583,0.14973,94.54593024462378,77.098,1.60134
ATG,2002,12.5,0.1674,99.94587397204202,78.189,1.6178
ATG,2003,17.2286487816884,0.18414,103.60462891019175,79.28,1.7161
ATG,2004,24.2665437161785,0.19344,105.99794838934433,80.371,1.81507
ATG,2005,27.0,0.21204,106.1777286342098,81.462,1.93258
ATG,2006,30.0,0.22599,107.69555086281461,82.7756,2.17817
ATG,2007,34.0,0.24459,111.10104591314933,84.0892,2.38108
ATG,2008,38.0,0.25203,111.90411883451115,85.4028,2.38073
ATG,2009,42.0,0.28644,115.46841388710779,86.7164,2.09593
ATG,2010,47.0,0.296856,109.98043121663058,88.03,1.9316
ATG,2011,52.0,0.296205,108.30774332441091,89.1382,1.89377
ATG,2012,58.0,0.288765,109.93692801042477,90.2464,1.95764
